"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"254","TKA",143,"neg",0,NA,0,0,2,"angr",0.333333333333333,0,0,0,0,0,1,0,1
"255","TKA",143,"neg",0,NA,0,0,1,"happ",0,4.33333333333333,5,4,4,0,0,0,1
"256","TKA",143,"neg",0,NA,0,0,2,"happ",0,2.66666666666667,3,2,3,0,0,0,1
"257","TKA",143,"neg",0,NA,0,0,1,"neut",0.333333333333333,0.333333333333333,1,0,0,0,1,0,1
"258","TKA",143,"neg",0,NA,0,0,2,"neut",0.666666666666667,0,0,0,0,0,1,1,1
"259","JOB",144,"pos",1,0,1,0,1,"angr",0.333333333333333,0,0,0,0,0,0,1,1
"260","JOB",144,"pos",1,0,1,0,2,"angr",0.666666666666667,0,0,0,0,1,0,1,1
"261","JOB",144,"pos",1,0,1,0,1,"happ",0,0.666666666666667,1,0,1,0,0,0,1
"262","JOB",144,"pos",1,0,1,0,2,"happ",0,0.333333333333333,1,0,0,0,0,0,1
"263","JOB",144,"pos",1,0,1,0,1,"neut",0,0,0,0,0,0,0,0,1
"264","JOB",144,"pos",1,0,1,0,2,"neut",0.333333333333333,0,0,0,0,0,0,1,1
"265","CBV",145,"pos",4,3,1,0,1,"angr",1.66666666666667,0.333333333333333,0,1,0,1,2,2,5
"266","CBV",145,"pos",4,3,1,0,2,"angr",1,0.333333333333333,1,0,0,1,1,1,4
"267","CBV",145,"pos",4,3,1,0,1,"happ",0,2.66666666666667,3,3,2,0,0,0,1
"268","CBV",145,"pos",4,3,1,0,2,"happ",0,1.66666666666667,2,1,2,0,0,0,2
"269","CBV",145,"pos",4,3,1,0,1,"neut",1,0.333333333333333,0,0,1,1,2,0,1
"270","CBV",145,"pos",4,3,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"271","TSS",146,"neu",0,NA,1,0,1,"angr",0.333333333333333,0,0,0,0,0,1,0,1
"272","TSS",146,"neu",0,NA,1,0,2,"angr",1.33333333333333,0,0,0,0,1,2,1,1
"273","TSS",146,"neu",0,NA,1,0,1,"happ",0,0,0,0,0,0,0,0,2
"274","TSS",146,"neu",0,NA,1,0,2,"happ",1,0,0,0,0,1,1,1,2
"275","TSS",146,"neu",0,NA,1,0,1,"neut",0,0.666666666666667,0,2,0,0,0,0,1
"276","TSS",146,"neu",0,NA,1,0,2,"neut",0,0.666666666666667,0,2,0,0,0,0,1
"277","klp",147,"neg",4,0,1,0,1,"angr",0,0,0,0,0,0,0,0,1
"278","klp",147,"neg",4,0,1,0,2,"angr",0.333333333333333,0,0,0,0,0,1,0,1
